id,name,eve_echoes_market_id,cached_lowest_sell,item_type_id
167,Punisher,10100000307,120000.00,3
176,Executioner II,10100000308,944008.00,4
123,Punisher Assault,10100000312,27500000.00,5
188,Algos,10200000405,1700000.00,9
189,Hurricane Prototype,10400000211,194000000.00,15
125,Venture III,10600001408,7500000.00,246
126,Shadow Serpentis Medium Rifled Railgun,11000120018,,30
150,'Magnate' Medium Rifled Railgun,11000120021,1700000.00,30
122,Executioner II Interceptor,10100000310,,4
146,Purifier,10100000313,15900000.00,7
177,Purifier II,10100000314,81000000.00,7
124,Magnate,10100000316,121760.00,3
147,Magnate Covert Ops,10100000317,5950000.00,6
148,Maulus,10100000401,800000.00,3
149,Navitas,10100000403,7200000.00,3
181,Navitas II,10100000404,12999919.00,8
186,Incursus Assault,10100000412,25000000.00,5
187,Catalyst,10200000404,172834.00,9
185,Orthrus,10300001801,,12
102,Imicus High Mobility,10600001304,511119.00,19
169,Dread Guristas Medium Rifled Railgun,11000120017,,30
182,MK7 Interdiction Sphere Launcher,11026000008,5900000.00,229
85,'Chivalry' Medium Remote Capacitor Transmitter,11100100021,370000.00,77
170,Dread Guristas Adaptive Invulnerability Field,11313400017,,95
183,MK9 Target Painter,11330000010,210000.00,227
106,Federation Navy Magnetic Field Stabilizer,11510000013,549999.00,117
127,MK1 Warp Core Stabilizer,11511000002,4800.00,115
152,MK3 Warp Core Stabilizer,11511000004,6000.00,115
178,MK5 Warp Core Stabilizer,11511000006,28200.00,115
97,Republic Fleet Inertial Stabilizer,11520000014,1150000.00,114
98,Caldari Navy Large Group Shield Booster ,11539200013,,81
101,MK5 Medium Group Capacitor Transmitter,11541100006,1800000.00,86
154,Auxiliary Nano Pump II,11708010004,1600000.00,135
155,Auxiliary Thrusters I,11710010002,9999998.00,137
128,Auxiliary Thrusters II,11710010004,36790000.00,137
129,Auxiliary Thrusters III,11710010006,103000000.00,137
156,Auxiliary Thrusters IV,11710010008,,137
113,Sweet Posion,28008000016,163900000.00,222
103,Gleaming Alloy,42001000002,197.00,163
130,Condensed Alloy,42001000003,150.00,163
157,Coercer II Blueprint,60200000306,22975.00,172
172,Caracal Sniper Blueprint,60300000113,10969420.00,173
105,Blackbird Covert Ops Blueprint,60300000114,8742069.00,173
158,Blackbird II Covert Ops Blueprint,60300000115,11000000.00,173
159,Rupture Guardian Blueprint,60300000201,6450000.00,173
160,Rupture II Guardian Blueprint,60300000202,7420690.00,173
107,Exequror Blueprint,60300000405,8000000.00,173
131,Thorax Prototype Blueprint,60300000416,4800000.00,173
161,Drake Logistics Blueprint,60400000106,22000000.00,174
108,Hurricane Logistics Blueprint,60400000206,20000000.00,174
132,Cyclone Blueprint,60400000207,9500000.00,174
191,Prophecy Blueprint,60400000307,7400000.00,174
162,Decomposer Algid Hybrid Administrations Unit I Blueprint,61705040002,,183
110,Core Defense Charge Economizer II Blueprint,61707010004,199000.00,188
133,Anti-Explosive Screen Reinforcer I Blueprint,61707040002,1700.00,188
134,Anti-Thermal Screen Reinforcer II Blueprint,61707070004,400000.00,188
111,Anti-Thermal Screen Reinforcer III Blueprint,61707070006,10000000.00,188
112,Nanobot Accelerator I Blueprint,61708000002,4500.00,189
164,Anti-Explosive Pump II Blueprint,61708040004,3700000.00,189
174,Anti-Kinetic Pump III Blueprint,61708060006,8500000.00,189
114,Auxiliary Thrusters II Blueprint,61710010004,25999000.00,191
135,Polycarbon Engine Housing I Blueprint,61710020002,1350000.00,191
38,Polycarbon Engine Housing II Blueprint,61710020004,15799000.00,191
115,Structure Medical Center Blueprint,77000000009,10000.00,195
165,Reaper Nefantar SKIN(permanent),80001600050,5000000.00,203
166,Corax Trainer Alien Hunter SKIN(permanent),80002100450,50000.00,205
116,Vexor Trainer Alien Hunter SKIN(permanent),80002200710,35000.00,211
138,Dragoon Trainer Holy Throne SKIN(permanent),80002400440,150000.00,261
117,Corax Trainer Holy Throne SKIN(permanent),80002500450,10000.00,205
184,Myrmidon Titanium silver SKIN(permanent),80500401410,,215
254,Apocalypse Red copper SKIN(permanent),80500102100,,247
255,Vexor Titanium silver SKIN(permanent),80500400670,,211
256,Vexor Trainer Titanium silver SKIN(permanent),80500400710,,211
271,Cormorant Ochre SKIN(permanent),80500700230,4000000.00,205
227,Maller Trainer Earth  SKIN(permanent),80502001090,,236
228,Merlin Water  SKIN(permanent),80502300110,120000000.00,201
287,Moa Water  SKIN(permanent),80502300990,,210
229,Atron,10100000405,5170.00,2
230,Tristan,10100000406,56999.00,3
245,Incursus,10100000407,121760.00,3
257,Atron II,10100000408,800000.00,4
259,Atron Interceptor,10100000409,49000000.00,4
262,Atron II Interceptor,10100000410,,4
119,Slasher II Interceptor,10100000210,,4
140,Breacher Assault,10100000212,35000000.00,5
194,Nemesis,10100000413,17000000.00,7
195,Nemesis II,10100000414,69998999.00,7
196,Imicus,10100000416,100000.00,3
197,Imicus Covert Ops,10100000417,5950000.00,6
198,Worm,10100001001,495000000.00,3
231,Dramiel,10100001101,435000000.00,3
232,Cruor,10100001201,400000000.00,3
240,Astero,10100001601,,3
246,Garmur,10100001801,,3
247,Succubus,10100001901,614999975.00,3
265,Daredevil,10100002001,448000000.00,3
266,Cormorant Guardian,10200000101,11900000.00,10
199,Cormorant,10200000104,172834.00,9
277,Thrasher,10200000204,172834.00,9
288,Talwar,10200000205,2350000.00,9
200,Thrasher II,10200000206,2222222.00,9
201,Thrasher Fleet Issue,10200000207,12399000.00,9
202,Talwar Assault,10200000208,54000000.00,9
203,Talwar Trainer,10200000209,190000.00,9
293,Coercer Guardian,10200000301,11800000.00,10
233,Coercer,10200000304,150000.00,9
234,Dragoon,10200000305,2200000.00,9
235,Coercer II,10200000306,2200000.00,9
248,Coercer Navy Issue,10200000307,8000000.00,9
249,Dragoon Assault,10200000308,42000000.00,9
258,Dragoon Trainer,10200000309,240000.00,9
294,Dragoon Sniper,10200000310,28000000.00,11
263,Catalyst Guardian,10200000401,14000000.00,10
204,Catalyst II,10200000406,2498008.00,9
206,Augoror,10300000305,99999997.00,12
207,Vexor Sniper,10300000413,169000000.00,14
208,Celestis Covert Ops,10300000414,,13
210,Thorax Prototype,10300000416,19000000.00,12
241,Gila,10300001001,2789980000.00,12
242,Cynabal,10300001101,1645000000.00,12
243,Ashimmu,10300001201,2200000000.00,12
250,Stratios,10300001601,,12
211,Vigilant,10300002001,2200000000.00,12
212,Ferox Guardian,10400000101,490000000.00,18
213,Ferox II Guardian,10400000102,,18
214,Naga,10400000104,290000000.00,16
215,Naga II,10400000105,477000000.00,16
236,Drake Logistics,10400000106,399999999.00,266
237,Ferox,10400000107,194999999.00,15
244,Drake,10400000108,275000000.00,15
251,Cyclone Guardian,10400000201,480000000.00,18
260,Tornado,10400000204,224500000.00,16
261,Cyclone,10400000207,194899000.00,15
264,Hurricane,10400000208,269999999.00,15
205,Prophecy Guardian,10400000301,468000000.00,18
217,Oracle,10400000304,230000000.00,16
218,Oracle II,10400000305,468999999.00,16
219,Harbinger Logistics,10400000306,440000000.00,266
278,Myrmidon Guardian,10400000401,375000000.00,18
279,Myrmidon II Guardian,10400000402,,18
280,Badger,10600000102,175300000.00,19
283,Wreathe,10600000201,167000000.00,19
289,Mammoth,10600000202,41000000.00,19
290,Wreathe II,10600000203,,19
284,Humpback High Mobility,10600001305,550000000.00,19
285,Humpback Hauling,10600001306,,19
291,Humpback Combat,10600001307,,19
292,Retriever,10600001401,71000000.00,21
268,MK9 Interdiction Sphere Launcher,11026000010,4900000.00,229
269,'Guide' Target Painter,11330000012,275000.00,227
220,'Abatis' 200mm Reinforced Steel Plate ,11514200012,475000.00,99
238,Imperial Navy 200mm Reinforced Steel Plate,11514200013,,99
295,Federation Navy 200mm Reinforced Steel Plate,11514200014,120000.00,99
267,'Bastion' 400mm Reinforced Steel Plate,11514300012,900000.00,100
270,Imperial Navy 400mm Reinforced Steel Plate,11514300013,80000.00,100
286,Federation Navy 400mm Reinforced Steel Plate,11514300014,20000.00,100
296,Miner Algid Optimizer II,11717030004,25000.00,140
171,Anti-Thermal Transverse Bulkhead I,11718040002,5699.00,136
49,MK5 Hornet,14000010006,195000.00,59
239,Oxygen Isotopes,42002000016,500.00,163
252,Lv.5 Amarr Ship Debris,44000000005,8000.00,165
221,Harbinger Blueprint,60400000308,4469420.00,174
222,Harbinger Prototype Blueprint,60400000311,3900502.00,174
272,Retriever Blueprint,60600001401,1500000.00,176
282,MK5 Small Group Shield Booster Blueprint,61539000006,2750.00,177
298,Warhead Rigor Catalyst III Blueprint,61706020006,895000.00,186
299,Bay Loading Accelerator I Blueprint,61706050002,1000000.00,186
783,Cargohold Optimization II Blueprint,61710030004,17400000.00,191
224,Miner Algid Optimizer II Blueprint,61717030004,9011.00,194
225,Reaper Glory of Vakir SKIN(permanent),80001500050,,203
274,Caracal Ochre SKIN(permanent),80500700660,38888888.00,210
226,Maller Earth  SKIN(permanent),80502000970,,236
273,Incursus Water  SKIN(permanent),80502300180,,202
321,MK5 400mm Reinforced Steel Plate,11514300006,125000.00,100
393,Miner Circulation Accelerator I,11717010002,2699997.00,140
988,Standard Standup Large Missile Launcher,24003000002,174900000.00,143
323,Core Defense Operational Solidifier II Blueprint,61707000004,3000.00,188
300,Moa Trainer Earth  SKIN(permanent),80502001100,500000000.00,210
307,Armageddon Fire  SKIN(permanent),80502202110,,247
308,Scorpion Fire  SKIN(permanent),80502202120,,218
326,Dominix Fire  SKIN(permanent),80502202150,,219
327,Typhoon Fire  SKIN(permanent),80502202160,766666666.00,220
340,Rifter Water  SKIN(permanent),80502300130,,203
309,Corax,10200000105,1600000.00,9
310,Cormorant II,10200000106,2000000.00,9
311,Cormorant Navy Issue,10200000107,9900000.00,9
328,Corax Assault,10200000108,62500000.00,9
342,Corax Trainer,10200000109,184000.00,9
377,Thrasher Covert Ops,10200000211,,11
312,Coercer Covert Ops,10200000311,,11
378,Algos Trainer,10200000409,208000.00,9
313,Algos Sniper,10200000410,21250000.00,11
314,Moa Guardian,10300000101,150000000.00,14
329,Moa II Guardian,10300000102,199999000.00,14
335,Prophecy,10400000307,190000000.00,15
343,Harbinger,10400000308,291899999.00,15
301,Talos,10400000404,245000000.00,16
302,Talos II,10400000405,497380000.00,16
303,Brutix Logistics,10400000406,450000000.00,266
315,Myrmidon,10400000407,182900000.00,15
330,Brutix,10400000408,264999999.00,15
336,Raven Striker,10500000102,,22
337,Tempest,10500000202,709999000.00,22
344,Tayra,10600000101,44999989.00,19
304,Bestower,10600000301,45000000.00,19
305,Sigil,10600000302,150000000.00,19
316,Sigil II,10600000303,,19
317,Kryos,10600000401,40000000.00,19
318,Nereus,10600000402,146000000.00,19
319,Nereus High Mobility,10600001301,21500000.00,19
338,Nereus Combat,10600001302,74500000.00,19
345,Nereus Hauling,10600001303,98000000.00,19
379,Procurer,10600001402,172000000.00,21
380,Covetor,10600001403,,21
382,Venture,10600001406,260000.00,246
383,Venture II,10600001407,2977777.00,246
397,MK1 Small Rifled Railgun,11000020002,800.00,29
350,Dread Guristas Small Rifled Railgun,11000020017,,29
351,Shadow Serpentis Small Rifled Railgun,11000020018,,29
363,'Quafe' Small Rifled Railgun,11000020021,945000.00,29
364,Coreli C-Type Small Rifled Railgun,11000020024,2400000.00,29
365,MK5 Medium Rifled Railgun,11000120006,15000.00,30
367,MK7 Medium Rifled Railgun,11000120008,32300.00,30
368,MK9 Medium Rifled Railgun,11000120010,97999.00,30
369,'Flintlock' Medium Rifled Railgun,11000120012,135000.00,30
281,MK5 Warp Disruption Field Generator,11116000006,3250000.00,230
384,Caldari Navy Medium Rifled Railgun,11000120013,370000.00,30
385,Corelum C-Type Medium Rifled Railgun,11000120024,990000.00,30
386,MK7 Large Rifled Railgun,11000220008,100000.00,31
387,MK9 Large Rifled Railgun,11000220010,415000.00,31
388,'Popper' Large Rifled Railgun,11000220012,690000.00,31
389,Caldari Navy Large Rifled Railgun,11000220013,649999.00,31
390,Dread Guristas Large Rifled Railgun,11000220017,,31
360,MK7 Warp Disruption Field Generator,11116000008,17500000.00,230
347,'Halley' Target Painter,11330000021,,227
331,MK7 400mm Reinforced Steel Plate,11514300008,450000.00,100
333,MK9 400mm Reinforced Steel Plate,11514300010,600000.00,100
349,MK5 800mm Reinforced Steel Plate,11514400006,600000.00,100
352,MK7 800mm Reinforced Steel Plate,11514400008,970000.00,100
353,MK9 800mm Reinforced Steel Plate,11514400010,2500000.00,100
357,'Bastion' 800mm Reinforced Steel Plate ,11514400012,1799876.00,100
358,Imperial Navy 800mm Reinforced Steel Plate,11514400013,1550000.00,100
370,Algid Energy Administrations Unit I,11702040002,24500.00,129
372,Anti-Explosive Screen Reinforcer I,11707040002,1999.00,134
373,Gravity Capacitor Upgrade I,11714000002,155000.00,139
374,Miner Efficiency Upgrade II,11717000004,4600000.00,140
391,Miner Efficiency Upgrade III,11717000006,55000000.00,140
392,Miner Efficiency Upgrade IV,11717000008,,140
394,Miner Circulation Accelerator II,11717010004,69800000.00,140
395,Miner Circulation Accelerator III,11717010006,303888887.00,140
396,Miner Circulation Accelerator IV,11717010008,,140
359,Friends by Blood,28008000006,110000000.00,222
348,Scordite,51001000000,14.00,264
322,Humpback High Mobility Blueprint,60600001305,7000000.00,176
339,Humpback Hauling Blueprint,60600001306,,176
324,Higgs Anchor I Blueprint,61710040002,3000.00,191
136,Hyperspatial Velocity Optimizer I Blueprint,61710060002,89000.00,191
355,Anti-EM Transverse Bulkhead I Blueprint,61718020002,3500.00,190
356,Anti-EM Transverse Bulkhead II Blueprint,61718020004,11799.00,190
325,Anti-Kinetic Transverse Bulkhead I Blueprint Blueprint,61718030002,2150.00,190
361,Anti-Kinetic Transverse Bulkhead II Blueprint,61718030004,7651.00,190
362,Anti-Kinetic Transverse Bulkhead III Blueprint,61718030006,150000.00,190
366,Anti-Thermal Transverse Bulkhead I Blueprint,61718040002,2000.00,190
375,Anti-Thermal Transverse Bulkhead II Blueprint,61718040004,,190
376,Ferox Ochre SKIN(permanent),80500701400,,214
815,Veteran Small Shield Booster,11302000021,1100000.00,88
457,MK3 Warp Scrambler,11347000004,80000.00,224
417,'Hansen' 800mm Reinforced Steel Plate ,11514400021,8800000.00,100
460,MK7 Small Group Shield Booster,11539000008,945000.00,79
425,MK7 Guard,14000320008,2500000.00,61
427,MK7 Bouncer,14000330008,2400000.00,61
488,Catalyst Earth  SKIN(permanent),80502000240,25000000.00,206
489,Thrasher Earth  SKIN(permanent),80502000250,,207
490,Moa Earth  SKIN(permanent),80502000990,,210
437,Blackbird,10300000103,50000000.00,12
438,Osprey,10300000105,110000000.00,12
439,Caracal,10300000108,21400000.00,12
440,Moa,10300000109,45000000.00,12
441,Caracal Trainer,10300000111,8499000.00,12
442,Moa Trainer,10300000112,82966221.00,12
443,Caracal Sniper,10300000113,150000000.00,14
444,Blackbird II Covert Ops,10300000115,350000000.00,13
445,Rupture Guardian,10300000201,98000000.00,14
446,Rupture II Guardian,10300000202,144000000.00,14
447,Bellicose,10300000203,47000000.00,12
449,Scythe,10300000205,120000000.00,12
450,Stabber,10300000208,18900000.00,12
451,Stabber Fleet Issue,10300000209,48000000.00,12
452,Rupture,10300000210,58000000.00,12
453,Stabber Trainer,10300000211,8099999.00,12
454,Rupture Trainer,10300000212,74512801.00,12
455,Stabber Sniper,10300000213,159000000.00,14
410,Bellicose Covert Ops,10300000214,130000000.00,13
411,Bellicose II Covert Ops,10300000215,333333333.00,13
412,Maller Guardian,10300000301,70000000.00,14
413,Maller II Guardian,10300000302,129999998.00,14
414,Arbitrator,10300000303,50000000.00,12
491,Omen,10300000308,16900000.00,12
492,Maller,10300000309,50000000.00,12
493,Omen Navy Issue,10300000310,51000000.00,12
494,Omen Trainer,10300000311,8200000.00,12
495,Maller Trainer,10300000312,88248383.00,12
496,Omen Sniper,10300000313,169999998.00,14
459,Phantasm,10300001901,2888888888.00,12
461,Hurricane Logistics,10400000206,449999999.00,266
464,Harbinger Prototype,10400000311,200000000.00,15
466,Raven,10500000103,674999000.00,22
469,Rokh,10500000104,,22
470,Maelstrom Striker,10500000201,,22
471,Typhoon,10500000203,580000000.00,22
472,Maelstrom,10500000204,,22
473,Armageddon,10500000301,650000000.00,22
474,MK7 Small Rifled Railgun,11000020008,14500.00,29
398,MK9 Small Rifled Railgun,11000020010,20000.00,29
401,'Musket' Small Rifled Railgun,11000020012,70000.00,29
402,Caldari Navy Small Rifled Railgun,11000020013,370000.00,29
406,Federation Navy Small Rifled Railgun,11000020014,299514.00,29
399,Shadow Serpentis Large Rifled Railgun,11000220018,,31
400,'Poison' Large Rifled Railgun ,11000220021,16999999.00,31
403,Core C-Type Large Rifled Railgun,11000220024,27898999.00,31
475,Civilian Small Snubnosed Railgun,11000520001,3000.00,32
476,'Dealer' Small Snubnosed Railgun,11000520012,65000.00,32
477,'Hustler' Medium Snubnosed Railgun,11000620012,180000.00,33
485,MK9 Large Snubnosed Railgun,11000720010,884999.00,34
486,'Swindler' Large Snubnosed Railgun,11000720012,1350000.00,34
408,'Devour' Interdiction Sphere Launcher,11026000021,,229
407,MK9 Warp Disruption Field Generator,11116000010,7999999.00,230
487,Federation Navy Large Snubnosed Railgun,11000720013,5000000.00,34
497,Shadow Serpentis Large Snubnosed Railgun,11000720017,,34
456,'Static' Warp Disruption Field Generator,11116000012,,230
458,Domination Target Painter,11330000017,,227
415,Federation Navy 800mm Reinforced Steel Plate,11514400014,1300000.00,100
416,Dark Blood 800mm Reinforced Steel Plate,11514400017,,100
418,MK9 1600mm Reinforced Steel Plate,11514500010,2099999.00,101
420,Corpum C-Type Medium Armor Link Module,11538100024,,74
462,MK9 Small Group Shield Booster,11539000010,1199999.00,79
463,MK9 Large Group Armor Repairer ,11540200010,13495000.00,84
421,MK9 Acolyte,14000000010,877600.00,59
422,Civilian Hornet,14000010001,12000.00,59
423,MK3 Hornet,14000010004,26999.00,59
424,Caldari Navy Warden,14000310012,,61
426,Federation Navy Guard,14000320012,,61
428,MK9 Bouncer,14000330010,10889998.00,61
2149,Standard Standup Stasis Webifier,24011000002,199888888.00,144
430,Tripped Power Circuit,41400000002,500.00,164
431,Smashed Trigger Unit,41400000004,150.00,164
432,Contaminated Lorentz Fluid,41400000008,30.00,164
433,Conductive Polymer,41400000009,31.00,164
404,Veldspar,51000000000,4.00,257
405,Compressed Veldspar,51000000006,62.00,257
465,Scythe Blueprint,60300000205,8694200.00,173
434,Warhead Flare Catalyst III Blueprint,61706000006,990000.00,186
467,Warhead Rigor Catalyst II Blueprint,61706020004,180000.00,186
468,Rocket Fuel Cache Partition I Blueprint,61706030002,5108.00,186
478,Rocket Fuel Cache Partition II Blueprint,61706030004,249999.00,186
1255,Emission Scope Sharpener II Blueprint,61714010004,700000.00,193
479,Drone Scope Chip I Blueprint,61719010002,3486.00,187
480,Drone Scope Chip II Blueprint,61719010004,4000.00,187
448,Slasher Soot SKIN(permanent),80501000090,9111111.00,203
482,Xian-Yue Lunar Eclipse SKIN(permanent),80501400880,,208
874,MK7 Small Afterburner,11304500008,380000.00,108
540,Rokh Ochre SKIN(permanent),80500702130,,218
498,Rupture Earth  SKIN(permanent),80502001030,,212
499,Rupture Trainer Earth  SKIN(permanent),80502001120,,212
510,Core C-Type Large Armor Link Module,11538200025,,75
511,MK5 Small Group Shield Booster,11539000006,69999.00,79
500,Dragoon Air SKIN(permanent),80502100360,70000000.00,261
535,Laser Ambit Extension I,11702010002,49000.00,129
501,Corax Air SKIN(permanent),80502100370,125000000.00,205
513,Talwar Air SKIN(permanent),80502100390,125000000.00,207
568,Caracal Navy Issue,10300000110,54000000.00,12
502,Arbitrator Covert Ops,10300000314,114999999.00,13
503,Thorax Guardian,10300000401,79000000.00,14
514,Celestis,10300000403,48500000.00,12
516,Exequror,10300000405,90000000.00,12
517,Vexor,10300000408,18990000.00,12
504,'Poison' Large Snubnosed Railgun ,11000720021,32000000.00,34
569,Core C-Type Large Snubnosed Railgun,11000720024,49499999.00,34
570,MK1 Small Beam Laser,11002110002,1000.00,26
571,MK3 Small Beam Laser,11002110004,4000.00,26
572,MK5 Small Beam Laser,11002110006,5000.00,26
573,MK7 Small Beam Laser,11002110008,44899.00,26
585,MK9 Small Beam Laser,11002110010,55000.00,26
527,Imperial Navy Small Beam Laser,11002110013,200000.00,26
541,True Sansha Small Beam Laser,11002110017,,26
542,'Rebel' Small Beam Laser ,11002110021,770000.00,26
543,Centii C-Type Small Beam Laser,11002110024,3400000.00,26
544,Corpii C-Type Small Beam Laser,11002110025,4000000.00,26
545,MK5 Medium Beam Laser,11002220006,51000.00,27
546,MK7 Medium Beam Laser,11002220008,107238.00,27
547,MK9 Medium Beam Laser,11002220010,220000.00,27
548,'Crossbow' Medium Beam Laser,11002220012,300000.00,27
574,Imperial Navy Medium Beam Laser,11002220013,50000.00,27
575,True Sansha Medium Beam Laser,11002220017,,27
576,Dark Blood Medium Beam Laser,11002220018,,27
577,'Ritual' Medium Beam Laser,11002220021,555000.00,27
578,Centum C-Type Medium Beam Laser,11002220024,840000.00,27
579,Corpum C-Type Medium Beam Laser,11002220025,600000.00,27
586,MK7 Large Beam Laser,11002310008,450000.00,28
523,MK9 Large Beam Laser,11002310010,860000.00,28
525,'Catapult' Large Beam Laser,11002310012,1300000.00,28
528,Imperial Navy Large Beam Laser,11002310013,1150000.00,28
529,True Sansha Large Beam Laser,11002310017,,28
530,Dark Blood Large Beam Laser,11002310018,,28
531,'Ruin' Large Beam Laser ,11002310021,10000000.00,28
549,Centus C-Type Large Beam Laser,11002310024,48490000.00,28
552,Corpus C-Type Large Beam Laser,11002310025,47000000.00,28
554,MK1 Small Pulse Laser,11002510002,800.00,23
557,MK3 Small Pulse Laser,11002510004,2950.00,23
561,MK5 Small Pulse Laser,11002510006,7500.00,23
