name,region_id,jumps_to_jita,security
Mastakomon,The Forge,10,0.46
Eruka,The Forge,11,0.42
Ohkunen,The Forge,9,0.38
Obe,The Forge,8,0.35
Wirashoda,The Forge,12,0.49
Osaa,The Forge,11,0.33
LZ-6SU,Vale of the Silent,18,-0.17
MC6O-F,Vale of the Silent,16,-0.28
U54-1L,Vale of the Silent,18,-0.27
B-588R,Vale of the Silent,19,-0.15
NCGR-Q,Vale of the Silent,17,-0.26
G-LOIT,Vale of the Silent,19,-0.16
HE-V4V,Vale of the Silent,17,-0.21
N-HSK0,Vale of the Silent,15,-0.36
05R-7A,Vale of the Silent,16,-0.40
7-UH4Z,Vale of the Silent,16,-0.36
5ZO-NZ,Vale of the Silent,17,-0.30
FS-RFL,Vale of the Silent,16,-0.37
Y0-BVN,Vale of the Silent,17,-0.44
X97D-W,Vale of the Silent,17,-0.43
0-R5TS,Vale of the Silent,19,-0.22
H-UCD1,Vale of the Silent,19,-0.17
7-K5EL,Vale of the Silent,18,-0.15
H-5GUI,Vale of the Silent,17,-0.14
FH-TTC,Vale of the Silent,18,-0.14
FMBR-8,Vale of the Silent,19,-0.14
3HX-DL,Vale of the Silent,17,-0.42
UH-9ZG,Vale of the Silent,14,-0.46
NFM-0V,Vale of the Silent,15,-0.50
YXIB-I,Vale of the Silent,15,-0.51
MY-T2P,Vale of the Silent,16,-0.38
FA-DMO,Vale of the Silent,18,-0.39
GEKJ-9,Vale of the Silent,17,-0.39
Q-R3GP,Vale of the Silent,18,-0.36
N-5QPW,Vale of the Silent,19,-0.39
XV-8JQ,Vale of the Silent,17,-0.39
WBR5-R,Vale of the Silent,16,-0.52
4GYV-Q,Vale of the Silent,15,-0.54
4-HWWF,Vale of the Silent,14,-0.47
YMJG-4,Vale of the Silent,13,-0.42
8TPX-N,Vale of the Silent,15,-0.44
PM-DWE,Vale of the Silent,15,-0.42
K8X-6B,Vale of the Silent,12,-0.43
X445-5,Vale of the Silent,13,-0.41
KRUN-N,Vale of the Silent,12,-0.39
9OO-LH,Vale of the Silent,13,-0.47
V-OJEN,Vale of the Silent,13,-0.32
EIDI-N,Vale of the Silent,11,-0.41
P3EN-E,Vale of the Silent,9,-0.27
49-0LI,Vale of the Silent,14,-0.32
IPAY-2,Vale of the Silent,10,-0.34
DAYP-G,Vale of the Silent,12,-0.39
IFJ-EL,Vale of the Silent,12,-0.29
47L-J4,Vale of the Silent,13,-0.26
Q-L07F,Vale of the Silent,11,-0.32
E-D0VZ,Vale of the Silent,13,-0.27
6WW-28,Vale of the Silent,14,-0.23
A8A-JN,Vale of the Silent,14,-0.27
S-NJBB,Vale of the Silent,13,-0.28
T-GCGL,Vale of the Silent,18,-0.73
0MV-4W,Vale of the Silent,18,-0.66
TVN-FM,Vale of the Silent,17,-0.65
V-NL3K,Vale of the Silent,19,-0.76
AZBR-2,Vale of the Silent,18,-0.71
Z-8Q65,Vale of the Silent,17,-0.77
0J3L-V,Vale of the Silent,16,-0.79
H-NOU5,Vale of the Silent,20,-0.14
KX-2UI,Vale of the Silent,21,-0.16
MO-FIF,Vale of the Silent,22,-0.11
97-M96,Vale of the Silent,22,-0.19
MA-XAP,Vale of the Silent,23,-0.10
C-J7CR,Vale of the Silent,24,-0.09
Q-EHMJ,Vale of the Silent,18,-0.15
XSQ-TF,Vale of the Silent,19,-0.16
H-1EOH,Vale of the Silent,20,-0.17
IR-DYY,Vale of the Silent,21,-0.16
C-DHON,Vale of the Silent,22,-0.12
F-D49D,Vale of the Silent,22,-0.19
MQ-O27,Vale of the Silent,19,-0.13
H-EY0P,Vale of the Silent,20,-0.16
UNAG-6,Vale of the Silent,21,-0.22
E-SCTX,Vale of the Silent,20,-0.21
S6QX-N,Vale of the Silent,19,-0.22
IT-YAU,Vale of the Silent,18,-0.16
1VK-6B,Vale of the Silent,20,-0.17
7-PO3P,Vale of the Silent,22,-0.26
1W-0KS,Vale of the Silent,17,-0.10
669-IX,Vale of the Silent,18,-0.27
0R-F2F,Vale of the Silent,19,-0.31
R-P7KL,Vale of the Silent,19,-0.26
2DWM-2,Vale of the Silent,20,-0.20
XF-PWO,Vale of the Silent,20,-0.31
1N-FJ8,Vale of the Silent,21,-0.22
VI2K-J,Vale of the Silent,20,-0.13
ZLZ-1Z,Vale of the Silent,21,-0.17
6Y-WRK,Vale of the Silent,21,-0.16
RVCZ-C,Vale of the Silent,21,-0.14
5T-KM3,Vale of the Silent,20,-0.17
LS9B-9,Vale of the Silent,22,-0.20
1-GBBP,Vale of the Silent,20,-0.77
C-FP70,Vale of the Silent,21,-0.76
T-ZWA1,Vale of the Silent,21,-0.75
ZA0L-U,Vale of the Silent,21,-0.81
G96R-F,Vale of the Silent,22,-0.87
Y-ZXIO,Vale of the Silent,23,-0.90
B-E3KQ,Vale of the Silent,21,-0.26
Y5J-EU,Vale of the Silent,21,-0.22
O-LR1H,Vale of the Silent,22,-0.25
G5ED-Y,Vale of the Silent,22,-0.27
BR-6XP,Vale of the Silent,23,-0.25
8-TFDX,Vale of the Silent,22,-0.19
UL-4ZW,Vale of the Silent,23,-0.41
A-QRQT,Vale of the Silent,24,-0.13
WMBZ-U,Vale of the Silent,24,-0.09
PX5-LR,Vale of the Silent,23,-0.17
A3-RQ3,Vale of the Silent,22,-0.30
9-GBPD,Vale of the Silent,21,-0.16
LS-JEP,Vale of the Silent,22,-0.24
R-RSZZ,Vale of the Silent,22,-0.44
MGAM-4,Vale of the Silent,22,-0.58
VORM-W,Vale of the Silent,22,-0.56
7G-H7D,Vale of the Silent,21,-0.36
Q3-BAY,Vale of the Silent,23,-0.81
JZV-F4,Vale of the Silent,24,-0.85
WF-1LM,UUA-F4,,0.00
D95-FQ,UUA-F4,,0.00
ZSPJ-K,UUA-F4,,0.00
U1F-86,UUA-F4,,0.00
T-P7A6,UUA-F4,,0.00
Y-T3JJ,UUA-F4,,0.00
F3R-IA,UUA-F4,,0.00
74-YTJ,UUA-F4,,0.00
8-RS3U,UUA-F4,,0.00
OVFN-N,UUA-F4,,0.00
1Q-BBM,UUA-F4,,0.00
WXNC-N,UUA-F4,,0.00
G-EA07,UUA-F4,,0.00
X-L6BO,UUA-F4,,0.00
D-PHUA,UUA-F4,,0.00
3-HXHQ,UUA-F4,,0.00
18A-NB,UUA-F4,,0.00
3-J5OQ,UUA-F4,,0.00
GYF-GD,UUA-F4,,0.00
W-6TS9,UUA-F4,,0.00
VIG-VR,UUA-F4,,0.00
KX-P5C,UUA-F4,,0.00
N-FJBK,UUA-F4,,0.00
2-4ZT5,UUA-F4,,0.00
NVN-6F,UUA-F4,,0.00
09-8TH,UUA-F4,,0.00
TI0-AX,UUA-F4,,0.00
7O-POM,UUA-F4,,0.00
L6Q-SX,UUA-F4,,0.00
BFJ-TB,UUA-F4,,0.00
ZZ7-L6,UUA-F4,,0.00
L-CHVW,UUA-F4,,0.00
X0LN-U,UUA-F4,,0.00
RQAE-M,UUA-F4,,0.00
7CO-SA,UUA-F4,,0.00
4G-E5A,UUA-F4,,0.00
A-VWK9,UUA-F4,,0.00
JQHP-4,UUA-F4,,0.00
6Q5K-5,UUA-F4,,0.00
P-MVFP,UUA-F4,,0.00
J-Z1UW,UUA-F4,,0.00
W477-P,UUA-F4,,0.00
NQ1-BL,UUA-F4,,0.00
K7A-G8,UUA-F4,,0.00
HP-PMX,UUA-F4,,0.00
6BN-K9,UUA-F4,,0.00
WLE-PY,UUA-F4,,0.00
EH-HXW,UUA-F4,,0.00
OS-RR3,UUA-F4,,0.00
V4-GZL,UUA-F4,,0.00
4C-Z91,UUA-F4,,0.00
RU-97T,UUA-F4,,-1.00
1S-1V7,UUA-F4,,0.00
PE1-R1,UUA-F4,,0.00
Polaris,UUA-F4,,0.00
JB-007,UUA-F4,,0.00
USJ2-M,UUA-F4,,0.00
7M-RAL,UUA-F4,,0.00
LPBU-U,UUA-F4,,0.00
RF-342,UUA-F4,,0.00
J2V-XY,UUA-F4,,0.00
Z-JBTR,UUA-F4,,0.00
S-QNXH,UUA-F4,,0.00
S94-X8,UUA-F4,,0.00
J-YQEC,UUA-F4,,0.00
8MX-OR,UUA-F4,,0.00
97YC-C,UUA-F4,,0.00
V-AMD5,UUA-F4,,0.00
U-JC8X,UUA-F4,,0.00
1HH3-E,UUA-F4,,0.00
DUIU-Q,UUA-F4,,0.00
LQH0-H,UUA-F4,,0.00
FRW3-2,UUA-F4,,0.00
9MX-1C,UUA-F4,,0.00
IED-4U,UUA-F4,,0.00
N-9EOQ,UUA-F4,,0.00
6F3-TK,UUA-F4,,0.00
2E0P-2,UUA-F4,,0.00
U-ITH5,UUA-F4,,0.00
N-4G5L,UUA-F4,,0.00
RB-2EA,UUA-F4,,0.00
ZK5-42,UUA-F4,,0.00
YRZ-E4,UUA-F4,,0.00
A3-PAT,UUA-F4,,0.00
H55-2R,UUA-F4,,0.00
P6-DBM,UUA-F4,,0.00
9XI-0X,UUA-F4,,0.00
Q8T-MC,UUA-F4,,0.00
Z-YOJ9,UUA-F4,,0.00
4T4B-L,UUA-F4,,0.00
F-JB3H,UUA-F4,,0.00
XBO7-F,UUA-F4,,0.00
FI-449,UUA-F4,,0.00
UA7-U4,UUA-F4,,-0.01
VM-QFU,UUA-F4,,0.00
PU-1Z8,UUA-F4,,0.00
IEZW-V,UUA-F4,,0.00
B-DXO9,UUA-F4,,0.00
1TS-WN,UUA-F4,,0.00
16-31U,UUA-F4,,0.00
H472-N,UUA-F4,,0.00
U8MM-3,UUA-F4,,0.00
3C-26I,UUA-F4,,0.00
9K-VDI,UUA-F4,,0.00
L-SDU7,UUA-F4,,0.00
4-IPWK,UUA-F4,,0.00
Q-KCK3,UUA-F4,,0.00
WU-FHQ,Detorid,34,-0.26
V-4DBR,Detorid,35,-0.32
B-5UFY,Detorid,36,-0.40
SK42-F,Detorid,36,-0.32
EU9-J3,Detorid,37,-0.25
PQRE-W,Detorid,37,-0.62
OEG-K9,Detorid,38,-0.80
0-W778,Detorid,35,-0.22
DG-8VJ,Detorid,34,-0.35
5J4K-9,Detorid,35,-0.20
MD-0AW,Detorid,36,-0.20
H-FGJO,Detorid,37,-0.21
1KAW-T,Detorid,35,-0.40
C5-SUU,Detorid,38,-0.51
XSUD-1,Detorid,39,-0.34
3-LJW3,Detorid,37,-0.62
ZLO3-V,Detorid,38,-0.59
P7MI-T,Detorid,39,-0.40
JFV-ID,Detorid,39,-0.36
3-3EZB,Detorid,39,-0.51
52CW-6,Detorid,40,-0.46
9-OUGJ,Detorid,34,-0.36
4NDT-W,Detorid,33,-0.33
GR-X26,Detorid,35,-0.32
6OU9-U,Detorid,34,-0.32
9N-0HF,Detorid,33,-0.26
U-OVFR,Detorid,35,-0.31
G3D-ZT,Detorid,37,-0.34
D-0UI0,Detorid,36,-0.32
L8-WNE,Detorid,38,-0.44
1-GBVE,Detorid,39,-0.44
GC-LTF,Detorid,38,-0.26
NB-ALM,Detorid,38,-0.46
LT-XI4,Detorid,38,-0.24
L-QQ6P,Detorid,39,-0.35
5OJ-G2,Detorid,40,-0.47
9-02G0,Detorid,41,-0.47
XA5-TY,Detorid,41,-0.53
M-XUZZ,Detorid,42,-0.46
OFVH-Y,Detorid,40,-0.30
2-X0PF,Detorid,41,-0.38
1-PGSG,Detorid,42,-0.50
QLPX-J,Detorid,41,-0.28
A-C5TC,Detorid,42,-0.24
RZ-PIY,Detorid,42,-0.23
FR46-E,Detorid,41,-0.27
SLVP-D,Detorid,43,-0.57
0-G8NO,Detorid,44,-0.69
QRFJ-Q,Detorid,44,-0.53
HZFJ-M,Detorid,43,-0.71
77S8-E,Detorid,42,-0.82
FMH-OV,Detorid,41,-0.90
TYB-69,Detorid,41,-0.34
EDQG-L,Detorid,42,-0.21
7-P1JO,Detorid,41,-0.25
T-0JWP,Detorid,41,-0.24
J-L9MA,Detorid,43,-0.24
DX-TAR,Detorid,40,-0.24
A-7XFN,Detorid,39,-0.23
O3-4MN,Detorid,38,-0.25
U-MFTL,Detorid,39,-0.31
8FN-GP,Detorid,36,-0.51
FIDY-8,Detorid,37,-0.52
X40H-9,Detorid,38,-0.62
F2W-C6,Detorid,39,-0.71
KZ9T-C,Detorid,40,-0.77
XW2H-V,Detorid,41,-0.87
F9O-U9,Detorid,42,-0.17
S-51XG,Detorid,41,-0.14
E-1XVP,Detorid,40,-0.21
E-ACV6,Detorid,42,-0.16
BOZ1-O,Detorid,43,-0.15
QIMO-2,Detorid,43,-0.15
Z-2Y2Y,Detorid,43,-0.15
Q0J-RH,Detorid,44,-0.14
SAI-T9,Detorid,40,-0.31
IAS-I5,Detorid,39,-0.39
K7S-FF,Detorid,40,-0.34
RT-9WL,Detorid,40,-0.50
O5Q7-U,Detorid,41,-0.60
62O-UE,Detorid,42,-0.56
U0W-DR,Detorid,42,-0.24
SY-UWN,Detorid,43,-0.18
DX-DFJ,Detorid,43,-0.27
X-31TE,Detorid,44,-0.20
DVWV-3,Detorid,44,-0.36
KE-0FB,Detorid,44,-0.25
I-9GI1,Detorid,45,-0.20
W6P-7U,Detorid,40,-0.32
0IF-26,Detorid,41,-0.40
H-93YV,Detorid,40,-0.33
E51-JE,Detorid,41,-0.28
7-A6XV,Detorid,39,-0.45
QXE-1N,Detorid,41,-0.35
U69-YC,Detorid,38,-0.52
L-L7PE,Detorid,39,-0.56
MKIG-5,Wicked Creek,31,-0.22
YHEN-G,Wicked Creek,32,-0.20
E-JCUS,Wicked Creek,32,-0.22
W-QN5X,Wicked Creek,33,-0.27
LP1M-Q,Wicked Creek,33,-0.24
30-YOU,Wicked Creek,32,-0.27
384-IN,Wicked Creek,31,-0.20
4F89-U,Wicked Creek,31,-0.25
G063-U,Wicked Creek,34,-0.30
J7-BDX,Wicked Creek,33,-0.41
MLQ-O9,Wicked Creek,32,-0.20
L-FM3P,Wicked Creek,31,-0.17
X-ARMF,Wicked Creek,34,-0.09
8-OZU1,Wicked Creek,31,-0.18
0TYR-T,Wicked Creek,32,-0.16
GM-50Y,Wicked Creek,32,-0.17
G9L-LP,Wicked Creek,33,-0.15
MWA-5Q,Wicked Creek,33,-0.31
H-HHTH,Wicked Creek,34,-0.42
JQU-KY,Wicked Creek,34,-0.27
UY5A-D,Wicked Creek,34,-0.40
C-62I5,Wicked Creek,35,-0.12
ZH-GKG,Wicked Creek,35,-0.13
GPLB-C,Wicked Creek,29,-0.25
GGE-5Q,Wicked Creek,29,-0.49
5E-CMA,Wicked Creek,28,-0.42
U104-3,Wicked Creek,30,-0.27
M3-KAQ,Wicked Creek,31,-0.32
6-L4YC,Wicked Creek,30,-0.24
UM-SCG,Wicked Creek,32,-0.31
F-3FOY,Wicked Creek,31,-0.41
OAIG-0,Wicked Creek,31,-0.35
UZ-QXW,Wicked Creek,31,-0.48
5DE-QS,Wicked Creek,30,-0.37
R0-DMM,Wicked Creek,32,-0.47
5Q65-4,Wicked Creek,33,-0.62
SR-4EK,Wicked Creek,33,-0.34
0RI-OV,Wicked Creek,33,-0.29
C-LTXS,Wicked Creek,34,-0.29
C0O6-K,Wicked Creek,33,-0.30
HD-AJ7,Wicked Creek,34,-0.31
G9NE-B,Wicked Creek,32,-0.33
SJJ-4F,Wicked Creek,35,-0.25
F-QQ5N,Wicked Creek,36,-0.65
1-7B6D,Wicked Creek,37,-0.69
H6-EYX,Wicked Creek,38,-0.73
U-HVIX,Wicked Creek,37,-0.66
4-EFLU,Wicked Creek,37,-0.52
EIH-IU,Wicked Creek,38,-0.60
F-EM4Q,Wicked Creek,38,-0.43
1L-OEK,Wicked Creek,35,-0.66
MN-Q26,Wicked Creek,37,-0.51
5H-SM2,Wicked Creek,36,-0.71
4-OS2A,Wicked Creek,37,-0.60
YI-GV6,Wicked Creek,34,-0.64
SO-X5L,Wicked Creek,35,-0.70
XQS-GZ,Wicked Creek,37,-0.55
Q-GQHN,Wicked Creek,36,-0.53
A-4JOO,Wicked Creek,34,-0.20
TP7-KE,Wicked Creek,33,-0.33
R4N-LD,Wicked Creek,34,-0.26
3Q-VZA,Wicked Creek,35,-0.25
M-MBRT,Wicked Creek,35,-0.24
HPBE-D,Wicked Creek,35,-0.29
GRHS-B,Wicked Creek,32,-0.46
J-RXYN,Wicked Creek,32,-0.46
DUO-51,Wicked Creek,33,-0.47
07-SLO,Wicked Creek,34,-0.40
Z-A8FS,Wicked Creek,33,-0.54
GPD5-0,Wicked Creek,34,-0.31
LKZ-CY,Wicked Creek,36,-0.45
F5M-CC,Wicked Creek,35,-0.39
TZE-UB,Wicked Creek,36,-0.32
WRL4-2,Wicked Creek,37,-0.41
V7G-RL,Wicked Creek,38,-0.44
XEN7-0,Wicked Creek,37,-0.19
L-Z9KJ,Wicked Creek,33,-0.35
7K-NSE,Wicked Creek,32,-0.29
OR-7N5,Wicked Creek,31,-0.30
JEQG-7,Wicked Creek,30,-0.29
5NQI-E,Wicked Creek,32,-0.25
B-WQDP,Wicked Creek,29,-0.34
2-2EWC,Cache,26,-0.11
E1W-TB,Cache,24,-0.19
D-6H64,Cache,28,-0.06
8-BIE3,Cache,28,-0.08
LMM7-L,Cache,25,-0.19
995-3G,Cache,27,-0.09
W2T-TR,Cache,29,-0.05
Q-UEN6,Cache,27,-0.06
BLMX-B,Cache,28,-0.03
M-CNUD,Cache,29,-0.04
YE1-9S,Cache,28,-0.05
IVP-KA,Cache,30,-0.06
04EI-U,Cache,30,-0.08
B-T6BT,Cache,25,-0.90
VK-A5G,Cache,24,-0.56
I6-SYN,Cache,23,-0.35
O-5TN1,Cache,24,-0.40
8-SPNN,Cache,26,-0.95
U-QMOA,Cache,25,-0.31
4S0-NP,Cache,27,-0.08
K-RMI5,Cache,26,-0.10
C-6YHJ,Cache,27,-0.13
M53-1V,Cache,28,-0.19
E5T-CS,Cache,29,-0.20
W4C8-Q,Cache,30,-0.27
I-2705,Cache,28,-0.09
5F-MG1,Cache,31,-0.31
P7-45V,Cache,32,-0.34
M-MCP8,Cache,33,-0.39
JZ-B5Y,Cache,33,-0.39
TPG-DD,Cache,33,-0.30
NIF-JE,Cache,34,-0.62
BTLH-I,Cache,34,-0.63
U93O-A,Cache,33,-0.84
0LY-W1,Cache,35,-0.55
4YO-QK,Cache,32,-0.91
LJ-RJK,Cache,33,-0.88
8-VC6H,Cache,31,-1.00
LQ-01M,Cache,34,-0.58
NG-M8K,Cache,35,-0.91
RV5-TT,Cache,35,-0.37
8OYE-Z,Cache,36,-0.53
K85Y-6,Cache,36,-1.00
PKN-NJ,Cache,36,-0.26
EIN-QG,Scalding Pass,30,-0.11
ARG-3R,Scalding Pass,28,-0.04
S-E6ES,Scalding Pass,31,-0.11
R-3FBU,Scalding Pass,29,-0.06
K7-LDX,Scalding Pass,30,-0.11
U-IVGH,Scalding Pass,30,-0.11
P-N5N9,Scalding Pass,29,-0.03
JMH-PT,Scalding Pass,31,-0.22
DE-A7P,Scalding Pass,33,-0.47
X9V-15,Scalding Pass,32,-0.32
K212-A,Scalding Pass,29,-0.06
F-5FDA,Scalding Pass,26,-0.05
S1-XTL,Scalding Pass,27,-0.11
9PX2-F,Scalding Pass,27,-0.07
N3-JBX,Scalding Pass,28,-0.13
SG-75T,Scalding Pass,29,-0.29
GN-PDU,Scalding Pass,29,-0.09
AZ3F-N,Scalding Pass,29,-0.08
RNM-Y6,Scalding Pass,28,-0.18
V-KDY2,Scalding Pass,29,-0.23
FYD-TO,Scalding Pass,30,-0.03
ER2O-Y,Scalding Pass,30,-0.04
J2-PZ6,Scalding Pass,29,-0.33
XV-MWG,Scalding Pass,29,-0.41
OAQY-M,Scalding Pass,31,-0.53
1V-LI2,Scalding Pass,27,-0.43
M9-MLR,Scalding Pass,28,-0.40
Q-K2T7,Scalding Pass,28,-0.46
LBC-AW,Scalding Pass,30,-0.60
2-KPW6,Scalding Pass,30,-0.56
H5N-V7,Scalding Pass,31,-0.24
HQ-Q1Q,Scalding Pass,30,-0.16
WHI-61,Scalding Pass,31,-0.05
ZFJH-T,Scalding Pass,29,-0.10
I-1B7X,Scalding Pass,32,-0.16
G15Z-W,Scalding Pass,30,-0.09
AH8-Q7,Scalding Pass,31,-0.19
SD4A-2,Scalding Pass,33,-0.26
U6K-RG,Scalding Pass,34,-0.21
V-S9YY,Scalding Pass,32,-0.13
F2-NXA,Scalding Pass,32,-0.18
NSBE-L,Scalding Pass,35,-0.16
8Q-T7B,Scalding Pass,30,-0.06
WV0D-1,Scalding Pass,31,-0.08
ZNF-OK,Scalding Pass,31,-0.03
C8-7AS,Scalding Pass,32,-0.01
4E-EZS,Scalding Pass,31,-0.02
A-80UA,Scalding Pass,33,-0.01
U2-28D,Scalding Pass,25,-0.34
LQ-OAI,Scalding Pass,26,-0.54
5-MQQ7,Scalding Pass,26,-0.37
6-EQYE,Scalding Pass,26,-0.40
03-OR2,Scalding Pass,26,-0.17
JLO-Z3,Scalding Pass,27,-0.20
IAK-JW,Scalding Pass,32,-0.78
KZFV-4,Scalding Pass,31,-0.67
WO-GC0,Scalding Pass,33,-0.79
RYC-19,Scalding Pass,32,-0.88
X2-ZA5,Scalding Pass,31,-0.90
28Y9-P,Scalding Pass,32,-0.69
